Title,Link,Date Added,Closing Date,Max Grant
Investor Partnerships: Clean Energy and Climate Technologies,https://apply-for-innovation-funding.service.gov.uk/competition/2175/overview/7487b4f1-51e6-4f15-a4c8-f103559d14bb,2025-06-14 08:41,Wednesday 2 July 2025 11:00am,£2.0 million
Full ADOPT Grant: Round 1,https://apply-for-innovation-funding.service.gov.uk/competition/2162/overview/c35de0a9-5072-4142-8a52-1cdce8ef3871,2025-06-14 08:41,Wednesday 25 June 2025 11:00am,"£100,000"
Horizon Europe Guarantee - EIT KICs 2023,https://apply-for-innovation-funding.service.gov.uk/competition/1585/overview/32135a71-171a-46bf-ad56-e2e65a1a3574,2025-06-14 08:41,Thursday 27 November 2025 4:00pm,N/A
Horizon Europe Guarantee Extension,https://apply-for-innovation-funding.service.gov.uk/competition/1389/overview/b900fdc4-c48d-4d8a-8733-ce4ca210ae9a,2025-06-14 08:41,Thursday 27 November 2025 4:00pm,N/A
Knowledge Transfer Partnership (KTP): 2025 – 2026 Round 3,https://apply-for-innovation-funding.service.gov.uk/competition/2184/overview/c599b17c-e13a-4e13-995e-53cc4d4508a1,2025-06-16 22:04,Wednesday 17 September 2025 11:00am,"£8,500"
"Agri-tech and food technology, Mid and North Wales - CRD",https://apply-for-innovation-funding.service.gov.uk/competition/2212/overview/4411087f-2a92-4aed-b735-d1a813376bec,2025-06-26 08:52,Wednesday 20 August 2025 11:00am,"£500,000"
Full ADOPT Grant Round 2,https://apply-for-innovation-funding.service.gov.uk/competition/2222/overview/c3d5b2f9-e4d4-4ddc-99a2-589904ac3d42,2025-06-26 08:52,Wednesday 20 August 2025 11:00am,"£100,000"
Innovate UK Innovation Loans Round 22,https://apply-for-innovation-funding.service.gov.uk/competition/2236/overview/70cbae59-4e67-4626-8cb0-6bbbfc0cf6b7,2025-07-03 08:52,Wednesday 27 August 2025 11:00am,£5.0 million
Growth Catalyst Early Stage: New Innovators,https://apply-for-innovation-funding.service.gov.uk/competition/2220/overview/bcfd2780-f307-4434-be32-46889a239024,2025-07-07 08:54,Wednesday 6 August 2025 11:00am,"£50,000"
ATI Programme strategic batch: EoI – July 2025,https://apply-for-innovation-funding.service.gov.uk/competition/2228/overview/5ccf059d-ae66-4f72-a319-4b12cbd46d1c,2025-07-07 08:54,Wednesday 23 July 2025 11:00am,N/A
Contracts for Innovation: Resource Efficient Construction Impacts,https://apply-for-innovation-funding.service.gov.uk/competition/2242/overview/51b1338a-0d60-43de-b062-fe7a48a7d42f,2025-07-09 08:54,Wednesday 27 August 2025 11:00am,"£300,000"
Contracts for Innovation: Resource Efficient Chemicals Impacts,https://apply-for-innovation-funding.service.gov.uk/competition/2240/overview/10f28eca-01f0-4abf-8e0c-998151fe747b,2025-07-09 08:54,Wednesday 27 August 2025 11:00am,"£300,000"
Contracts for Innovation: Resource Efficient Automotive Impacts,https://apply-for-innovation-funding.service.gov.uk/competition/2241/overview/baec7aff-ca8b-456c-9e4d-d6eb9621a988,2025-07-09 08:54,Wednesday 27 August 2025 11:00am,"£300,000"
Future Flight: Regional Demonstrator 2,https://apply-for-innovation-funding.service.gov.uk/competition/2239/overview/7c5a9acd-4b31-414a-8e35-20dd1df3a2a1,2025-07-09 08:54,Thursday 17 July 2025 11:00am,"£200,000"
DRIVE35 Scale-up: Feasibility Studies,https://apply-for-innovation-funding.service.gov.uk/competition/2247/overview/53da287a-c141-48d2-a3eb-f854e14c6578,2025-07-15 08:20,Wednesday 3 September 2025 11:00am,"£750,000"
DRIVE35 Innovation Fund: Demonstrate,https://apply-for-innovation-funding.service.gov.uk/competition/2245/overview/777781a3-f181-42b3-a05e-86b96754f28d,2025-07-15 08:20,Wednesday 1 October 2025 11:00am,£1.5 million
DRIVE35 Innovation Fund: Collaborate,https://apply-for-innovation-funding.service.gov.uk/competition/2244/overview/84f81488-4936-4551-a315-7ec40cf1065d,2025-07-15 08:20,Wednesday 1 October 2025 11:00am,£25.0 million
ADOPT Facilitator Support Grant: Round 3,https://apply-for-innovation-funding.service.gov.uk/competition/2251/overview/f40e861a-c7f6-4597-ac5d-2e8d1b4f59f8,2025-07-25 08:20,Wednesday 3 September 2025 11:00am,"£2,500"
Sovereign AI - Proof of concept,https://apply-for-innovation-funding.service.gov.uk/competition/2259/overview/9061ddb2-fa12-45c9-8691-d36649c96e9c,2025-08-07 08:21,Wednesday 10 September 2025 11:00am,"£120,000"
Obesity Pathway Innovation Programme (OPIP): Strand 3,https://apply-for-innovation-funding.service.gov.uk/competition/2186/overview/e51c18bc-21b3-450d-bdbc-2f43dad3b268,2025-08-14 08:20,Wednesday 19 November 2025 11:00am,£8.0 million
Obesity Pathway Innovation Programme (OPIP): Strand 2,https://apply-for-innovation-funding.service.gov.uk/competition/2185/overview/d5b2aeb3-c2e4-4d78-9be3-f1d9919b0956,2025-08-14 08:20,Wednesday 19 November 2025 11:00am,£4.5 million
Obesity Pathway Innovation Programme (OPIP): Strand 1,https://apply-for-innovation-funding.service.gov.uk/competition/2177/overview/696c1e3c-589d-4c37-8958-6255d1dc125a,2025-08-14 08:20,Wednesday 19 November 2025 11:00am,£3.5 million
Analysis for Innovators: National Physical Laboratory Stage 1,https://apply-for-innovation-funding.service.gov.uk/competition/2266/overview/2fcad3ee-b5d6-4f01-8b1a-0e1af3c93023,2025-08-26 08:20,Wednesday 10 September 2025 11:00am,"£100,000"
Full ADOPT Grant Round 3,https://apply-for-innovation-funding.service.gov.uk/competition/2265/overview/fae182db-d9e5-4173-bb59-8fde361ccad4,2025-08-27 08:18,Wednesday 15 October 2025 11:00am,"£100,000"
ATI Programme strategic batch: EoI – September 2025,https://apply-for-innovation-funding.service.gov.uk/competition/2273/overview/b30df196-a9a2-4e53-85e1-e3e6aaa5c5b7,2025-09-01 08:20,Wednesday 17 September 2025 11:00am,N/A
Farming Innovation Programme: Small R&D Partnership Projects Rd 4,https://apply-for-innovation-funding.service.gov.uk/competition/2010/overview/bcd5cf06-313c-4197-ae47-0035f674717f,2025-09-02 08:19,Wednesday 5 November 2025 11:00am,£3.0 million
ADOPT Facilitator Support Grant: Round 4,https://apply-for-innovation-funding.service.gov.uk/competition/2277/overview/7386173a-c074-4617-b7d0-f54f3a458247,2025-09-04 08:18,Wednesday 15 October 2025 11:00am,"£2,500"
Innovate UK Innovation Loans Round 23,https://apply-for-innovation-funding.service.gov.uk/competition/2275/overview/dec9b656-5f30-414e-a169-e11e17d04896,2025-09-05 08:18,Wednesday 22 October 2025 11:00am,£5.0 million
UK-Netherlands Co-Innovation and Testbeds Pilot for Quantum Tech,https://apply-for-innovation-funding.service.gov.uk/competition/2288/overview/d547d84e-d652-4ed6-9c85-b12ab8d785d2,2025-09-12 08:17,Tuesday 28 October 2025 11:00am,"£300,000"
Contracts for Innovation: Quantum Technologies for Transport - Phase 1,https://apply-for-innovation-funding.service.gov.uk/competition/2292/overview/cdea3182-7495-4cad-8435-f49882f08ec7,2025-09-16 08:19,Wednesday 15 October 2025 11:00am,"£40,000"
DRIVE35 Scale-up Fund,https://apply-for-innovation-funding.service.gov.uk/competition/2279/overview/029bd996-9abd-42d9-8134-e2d34e3cfff5,2025-09-17 08:18,There is no submission deadline,£20.0 million
Commercialising Knowledge Assets Fund (CKAF) Winter,https://apply-for-innovation-funding.service.gov.uk/competition/2295/overview/cdce9dab-263c-444b-9e91-61f13046bd62,2025-09-18 08:17,Thursday 4 December 2025 11:00am,"£250,000"
Resource efficiency for resilience and sustainability FS,https://apply-for-innovation-funding.service.gov.uk/competition/2293/overview/2efee934-8622-4686-bc02-a6ac7fc9e5a6,2025-09-20 08:16,Monday 3 November 2025 11:00am,"£25,000"
Ofgem Strategic Innovation Fund Round 5 Discovery C4,https://apply-for-innovation-funding.service.gov.uk/competition/2284/overview/aa6bd2b1-f6e1-4e96-bd4c-0557c10779c8,2025-09-23 08:18,Wednesday 22 October 2025 11:00am,"£150,000"
Farming Innovation Programme: Feasibility Round 4,https://apply-for-innovation-funding.service.gov.uk/competition/2006/overview/b67973b5-6d46-4a34-a864-bec1212e3fe0,2025-09-29 08:20,Wednesday 3 December 2025 11:00am,"£500,000"
Eureka GlobalStars Japan 2026,https://apply-for-innovation-funding.service.gov.uk/competition/2276/overview/19635c62-dd91-41d8-a90e-547cdb5acbfa,2025-10-03 08:17,Wednesday 21 January 2026 11:00am,"£600,000"
CAM Pathfinder: Feasibility studies 2,https://apply-for-innovation-funding.service.gov.uk/competition/2307/overview/8eec43e7-96a5-49d1-97e1-3400321160f9,2025-10-10 08:18,Wednesday 26 November 2025 11:00am,"£250,000"
ATI Programme strategic batch EoI – October 2025,https://apply-for-innovation-funding.service.gov.uk/competition/2317/overview/c946fbde-725e-4f85-bb3f-3219576c4a01,2025-10-14 08:17,Wednesday 22 October 2025 11:00am,N/A
CAM Pathfinder: Enable,https://apply-for-innovation-funding.service.gov.uk/competition/2318/overview/39cd0e04-6f9c-40da-b0be-8eaae7f1603d,2025-10-15 08:19,Wednesday 17 December 2025 11:00am,£4.0 million
CAM Pathfinder: Demonstrate,https://apply-for-innovation-funding.service.gov.uk/competition/2315/overview/f02885bb-e043-4a60-8d0c-22242bd77fa9,2025-10-15 08:19,Wednesday 17 December 2025 11:00am,£2.0 million
"Launchpad: life and health sciences, Northern Ireland – Rd3 MFA",https://apply-for-innovation-funding.service.gov.uk/competition/2305/overview/fe565f48-36a8-4d8b-8515-e89d750f259c,2025-10-16 08:19,Wednesday 26 November 2025 11:00am,"£100,000"
ADOPT Facilitator Support Grant: Round 5,https://apply-for-innovation-funding.service.gov.uk/competition/2299/overview/0a26e49f-fa03-4096-aa8b-3eb39b68f20d,2025-10-17 08:19,Wednesday 26 November 2025 11:00am,"£2,500"
Battery Innovation Feasibility Studies Round 1,https://apply-for-innovation-funding.service.gov.uk/competition/2313/overview/508ab35f-0e07-4e84-8e31-bbbcb619bc9e,2025-10-18 08:16,Wednesday 17 December 2025 11:00am,"£500,000"
Battery Innovation Concept Development Round 1,https://apply-for-innovation-funding.service.gov.uk/competition/2314/overview/4d1e65d7-b380-41b7-8dcf-b25cd26b9ab5,2025-10-18 08:16,Wednesday 17 December 2025 11:00am,£4.0 million
The Agentic AI Pioneers Prize,https://apply-for-innovation-funding.service.gov.uk/competition/2316/overview/fa0eeab0-3021-4cbc-8975-5bd45a7d642a,2025-10-21 08:20,Wednesday 19 November 2025 11:00am,N/A
MSI: SME resource and energy efficiency – industrial research,https://apply-for-innovation-funding.service.gov.uk/competition/2328/overview/79cb058a-71b3-459a-93c2-8c96ecf7f18a,2025-10-22 08:21,Wednesday 10 December 2025 11:00am,£1.0 million
MSI: SME resource and energy   efficiency – feasibility studies,https://apply-for-innovation-funding.service.gov.uk/competition/2327/overview/bd7d1a37-69dc-4d09-8615-2bae4bcf3666,2025-10-22 08:21,Wednesday 10 December 2025 11:00am,"£150,000"
Full ADOPT Grant Round 4,https://apply-for-innovation-funding.service.gov.uk/competition/2298/overview/71fd7055-502d-4f85-9127-749156a80fe6,2025-10-23 08:19,Wednesday 10 December 2025 11:00am,"£100,000"
Innovate UK Innovation Loans Round 24,https://apply-for-innovation-funding.service.gov.uk/competition/2322/overview/1b933876-5f58-4dec-85ab-68b8c2722211,2025-10-24 08:19,Wednesday 7 January 2026 11:00am,£5.0 million
Knowledge Transfer Partnership (KTP): 2025 – 2026 Round 4,https://apply-for-innovation-funding.service.gov.uk/competition/2290/overview/8dd45f5c-3f38-4e38-b733-42b6cf601292,2025-10-25 08:16,Wednesday 26 November 2025 11:00am,"£8,500"
National Materials Innovation Programme: Feasibility Studies,https://apply-for-innovation-funding.service.gov.uk/competition/2326/overview/ca8aab61-a03b-431f-94a8-5c9b008495d5,2025-10-31 08:18,Wednesday 17 December 2025 11:00am,"£100,000"
UK-Canada Quantum Communications and Networking Demonstrator,https://apply-for-innovation-funding.service.gov.uk/competition/2335/overview/64e26f1b-8564-4539-b3ca-1b15ebf4f94a,2025-11-04 08:20,Wednesday 26 November 2025 11:00am,£3.4 million
Increasing EV charging capacity on the strategic road network,https://apply-for-innovation-funding.service.gov.uk/competition/2304/overview/9ea6670e-83fd-43f9-972f-e0eff8fe77a8,2025-11-04 08:20,Wednesday 25 March 2026 11:00am,£3.0 million
Biomedical Catalyst 2025: Industry led R&D small projects,https://apply-for-innovation-funding.service.gov.uk/competition/2333/overview/f5431c75-e2e1-48f4-bc8e-62d52121cb6f,2025-11-05 08:19,Wednesday 10 December 2025 11:00am,£1.0 million
Biomedical Catalyst 2025: Industry led R&D large projects,https://apply-for-innovation-funding.service.gov.uk/competition/2332/overview/bf6bd8c3-e550-478d-b374-a3cb0fb4d3d3,2025-11-05 08:19,Wednesday 10 December 2025 11:00am,£4.0 million
ATI Programme strategic batch EoI – November 2025,https://apply-for-innovation-funding.service.gov.uk/competition/2334/overview/4af06b80-2953-4cb3-8cc0-987ec5a2f322,2025-11-05 08:19,Wednesday 19 November 2025 11:00am,N/A
DRIVE35 Scale-up: Feasibility Studies 2,https://apply-for-innovation-funding.service.gov.uk/competition/2341/overview/4b0efce9-75b8-4e84-97c0-fc6277396586,2025-11-11 08:19,Wednesday 17 December 2025 11:00am,"£750,000"
Women in Innovation Awards 2025/26,https://apply-for-innovation-funding.service.gov.uk/competition/2337/overview/3750b1cd-2080-4a1c-82c0-003fbaafdd2d,2025-11-27 13:23,Wednesday 4 February 2026 11:00am,"£75,000"
Knowledge Transfer Partnership (KTP): 2025 – 2026 Round 5,https://apply-for-innovation-funding.service.gov.uk/competition/2354/overview/c7008321-f651-45c5-a409-c3215231fbb4,2025-12-02 08:22,Wednesday 4 February 2026 11:00am,"£8,500"
Innovate UK Growth Catalyst – Investor Partnerships Round 2,https://apply-for-innovation-funding.service.gov.uk/competition/2360/overview/37d8f6e1-5600-4e9e-bbfc-11bc320f8808,2025-12-11 08:22,Tuesday 3 February 2026 11:00am,£2.0 million
Full ADOPT Grant: Round 5,https://apply-for-innovation-funding.service.gov.uk/competition/2358/overview/f93f32c2-dd04-474d-bc35-a8af1ecac1a9,2025-12-12 08:22,Wednesday 4 February 2026 11:00am,"£100,000"
ADOPT Facilitator Support Grant: Round 6,https://apply-for-innovation-funding.service.gov.uk/competition/2371/overview/471bfe91-9f9c-4086-a28a-15296f1957e2,2025-12-18 08:21,Wednesday 25 February 2026 11:00am,"£2,500"
Commercialising Knowledge Assets Fund (CKAF) Spring,https://apply-for-innovation-funding.service.gov.uk/competition/2369/overview/abf7d399-81b9-4f33-b592-51825a288c37,2025-12-18 08:21,Thursday 7 May 2026 11:00am,"£250,000"
Energy catalyst round 11 – mid stage,https://apply-for-innovation-funding.service.gov.uk/competition/2363/overview/9f759af1-3732-4d15-995d-053e28025d22,2026-01-06 08:22,Wednesday 25 March 2026 11:00am,£1.5 million
Energy catalyst round 11 – late stage,https://apply-for-innovation-funding.service.gov.uk/competition/2364/overview/b9d4dedf-d22a-41d1-9ca2-6c5a279519be,2026-01-06 08:22,Wednesday 25 March 2026 11:00am,£5.0 million
Energy catalyst round 11 – early stage,https://apply-for-innovation-funding.service.gov.uk/competition/2362/overview/640b2f4e-8571-4aef-9e2a-67e35db3db77,2026-01-06 08:22,Wednesday 25 March 2026 11:00am,"£300,000"
DRIVE35 Innovation Fund: Demonstrate 2,https://apply-for-innovation-funding.service.gov.uk/competition/2351/overview/349c38f5-5ed2-4cf4-a324-bda2d6cd1e67,2026-01-06 08:22,Wednesday 11 March 2026 11:00am,£1.5 million
DRIVE35 Innovation Fund: Collaborate 2,https://apply-for-innovation-funding.service.gov.uk/competition/2350/overview/dbd41be3-14ea-4c83-8774-eb28a8703d57,2026-01-06 08:22,Wednesday 18 March 2026 11:00am,£25.0 million
Innovate UK Innovation Loans Round 25,https://apply-for-innovation-funding.service.gov.uk/competition/2373/overview/609dc5dd-d3e8-4f51-af3a-3eb1b3314710,2026-01-08 08:22,Wednesday 4 March 2026 11:00am,£5.0 million
Cyber Security Academic Startup Accelerator Programme Y10 Phase 1,https://apply-for-innovation-funding.service.gov.uk/competition/2376/overview/1b9b9265-ca4b-4f8c-a0c2-577cb8713642,2026-01-15 08:23,Wednesday 11 February 2026 11:00am,"£32,000"
Ofgem Strategic Innovation Fund Round 5 Discovery C5,https://apply-for-innovation-funding.service.gov.uk/competition/2346/overview/e172ee7c-3050-4d47-bf11-235cfe76c1e1,2026-01-20 08:24,Wednesday 25 February 2026 11:00am,"£150,000"
Advanced manufacturing supply chain innovation FS,https://apply-for-innovation-funding.service.gov.uk/competition/2384/overview/2ad8ce21-d3f6-48bf-b55a-5af2a892a1e0,2026-01-26 12:10,Wednesday 11 March 2026 11:00am,"£100,000"
TechLocal: Connecting Local Talent to Local Tech Jobs,https://apply-for-innovation-funding.service.gov.uk/competition/2378/overview/ae120ce2-7b72-4cf2-8dde-f78b02d5996d,2026-01-28 10:24,Wednesday 18 March 2026 11:00am,"£225,000"
TechLocal AI Professional Degree and Traineeship Accelerator,https://apply-for-innovation-funding.service.gov.uk/competition/2375/overview/6431359e-eb5c-4f76-b49d-299948107fbd,2026-01-28 10:24,Wednesday 18 March 2026 11:00am,"£300,000"
Robotics Adoption Programme skills development,https://apply-for-innovation-funding.service.gov.uk/competition/2387/overview/daca31c2-8395-4bc2-a5da-55eb1e432fa4,2026-02-02 10:39,Wednesday 25 March 2026 11:00am,"£500,000"
Knowledge Transfer Partnership (KTP): 2026 – 2027 Round 1,https://apply-for-innovation-funding.service.gov.uk/competition/2380/overview/3e170dd3-4458-4c7e-a096-e0ea50b88040,2026-02-03 10:35,Wednesday 1 April 2026 11:00am,"£8,500"
Biomedical Catalyst Accelerator Provider Pool EoI: late stage,https://apply-for-innovation-funding.service.gov.uk/competition/2389/overview/a7f7d874-8b6b-45d6-b1e1-1e88e11a1ea5,2026-02-03 10:35,Wednesday 4 March 2026 11:00am,N/A
Biomedical Catalyst Accelerator Provider Pool EoI: early stage,https://apply-for-innovation-funding.service.gov.uk/competition/2388/overview/08b8ab63-085d-4d79-ae83-e8c1698cb327,2026-02-03 10:35,Wednesday 4 March 2026 11:00am,N/A
Full ADOPT Grant: Round 6,https://apply-for-innovation-funding.service.gov.uk/competition/2385/overview/2343c344-807d-41a1-9551-05ac5420ba11,2026-02-09 10:53,Wednesday 8 April 2026 11:00am,"£100,000"
Zero Emission Flight Demonstrator Round 1,https://apply-for-innovation-funding.service.gov.uk/competition/2397/overview/752074ec-5f01-46d8-863f-596300a11651,2026-02-12 10:40,Wednesday 1 April 2026 11:00am,£5.0 million
Contracts for Innovation in drug and alcohol addiction healthcare,https://apply-for-innovation-funding.service.gov.uk/competition/2395/overview/3d49fbc4-6e09-4dd8-9ac8-8e5f88facd8d,2026-02-12 10:40,Wednesday 6 May 2026 11:00am,£1.5 million
Advancing innovation in drug and alcohol addiction healthcare,https://apply-for-innovation-funding.service.gov.uk/competition/2394/overview/33b56af8-353f-46ac-bb66-a0928731c0fc,2026-02-12 10:40,Wednesday 6 May 2026 11:00am,£10.0 million
UK-Germany Collaborative Innovation for Quantum Technologies 2026,https://apply-for-innovation-funding.service.gov.uk/competition/2392/overview/b8b93732-6326-4aed-9af3-334e4cc5ecc0,2026-02-13 10:35,Wednesday 15 April 2026 11:00am,£1.0 million
Contracts for Innovation: industrial human relevant drug models,https://apply-for-innovation-funding.service.gov.uk/competition/2396/overview/d55398bb-ff62-43b9-9ee1-bf3fa4b95c5c,2026-02-17 10:40,Wednesday 15 April 2026 11:00am,"£200,000"
Semiconductors and components for smart electronic platforms,https://apply-for-innovation-funding.service.gov.uk/competition/2403/overview/4b54c133-c9b2-4572-9cca-2a7a4f69e5b8,2026-02-20 10:32,Wednesday 1 April 2026 11:00am,£2.0 million
Robotics Adoption Hubs,https://apply-for-innovation-funding.service.gov.uk/competition/2408/overview/ad7d7d36-af60-48be-91b0-f3208cf7c1d4,2026-02-24 10:43,Wednesday 15 April 2026 11:00am,£7.5 million
Robotics Adoption Central Convening Body,https://apply-for-innovation-funding.service.gov.uk/competition/2409/overview/c7e5dd6a-9f34-4614-b548-214b76190c14,2026-02-24 10:43,Wednesday 15 April 2026 11:00am,£2.0 million
ADOPT Facilitator Support Grant: Round 7,https://apply-for-innovation-funding.service.gov.uk/competition/2404/overview/99693fa4-0f17-4de8-b812-34f2be37a4d0,2026-02-26 10:40,Wednesday 8 April 2026 11:00am,"£2,500"
SNPN 5G Assured Integration (CR&D),https://apply-for-innovation-funding.service.gov.uk/competition/2400/overview/cbbc48e2-d78e-42cd-b570-330f702ba82f,2026-03-03 10:34,Wednesday 1 April 2026 11:00am,£4.0 million
Clean Maritime Demonstration Competition 7: Pre-deployment trials,https://apply-for-innovation-funding.service.gov.uk/competition/2415/overview/fa34afe8-b2e7-4cda-b77b-cf952d26a27a,2026-03-11 10:34,Wednesday 15 July 2026 11:00am,£6.0 million
Clean Maritime Demonstration Competition 7: Feasibility studies,https://apply-for-innovation-funding.service.gov.uk/competition/2416/overview/f49610a2-5e82-4898-b357-10f80154a2b8,2026-03-11 10:34,Wednesday 15 July 2026 11:00am,£1.0 million
Clean Maritime Demonstration Competition 7: Deployment trials,https://apply-for-innovation-funding.service.gov.uk/competition/2414/overview/3409b968-a2b7-44e7-83a7-c2d3e8ad8f8e,2026-03-11 10:34,Wednesday 15 July 2026 11:00am,£15.0 million
AI Champions: Frontier AI Phase 1,https://apply-for-innovation-funding.service.gov.uk/competition/2419/overview/bb8d7d28-0e63-4ee1-bf4a-790dfb3ae02f,2026-03-12 10:34,Wednesday 29 April 2026 11:00am,"£250,000"
Frontier AI Discovery,https://apply-for-innovation-funding.service.gov.uk/competition/2422/overview/a5c16dd4-c60d-4cc1-8035-33fe76a52489,2026-03-17 10:45,Wednesday 10 June 2026 11:00am,"£50,000"
Secure Software for Resilient Growth,https://apply-for-innovation-funding.service.gov.uk/competition/2421/overview/3d6991fa-73b2-48c0-93eb-cc5393b5cf3d,2026-03-17 10:45,Wednesday 29 April 2026 11:00am,"£750,000"
Advanced Manufacturing Supply Chains: Potential High Growth SMEs,https://apply-for-innovation-funding.service.gov.uk/competition/2423/overview/6207ec15-42c0-424f-a3b7-6bd3bfa11ff1,2026-03-17 10:45,Wednesday 22 April 2026 11:00am,"£100,000"
Frontier AI Benchmarking Datasets,https://apply-for-innovation-funding.service.gov.uk/competition/2424/overview/e618b7a8-ab7f-45f3-a098-57c01b334fcd,2026-03-23 10:49,Wednesday 27 May 2026 11:00am,"£750,000"
Medicines Manufacturing: Labs of the Future,https://apply-for-innovation-funding.service.gov.uk/competition/2417/overview/5ec76f19-8bd0-4dfa-b869-f4f0401448de,2026-03-24 10:47,Wednesday 27 May 2026 11:00am,£1.5 million
AgriScale - Accelerating Agri-tech manufacturing: Industrial Research,https://apply-for-innovation-funding.service.gov.uk/competition/2428/overview/85fd40be-646f-4b95-8a12-f881334d871d,2026-03-24 10:47,Wednesday 3 June 2026 11:00am,"£750,000"
